data;leitura;ano;mes;consumo
01/09/2017;13/10/2017;2017;9;518
01/10/2017;12/11/2017;2017;10;513
01/11/2017;12/12/2017;2017;11;604
01/12/2017;12/01/2018;2017;12;338
01/01/2018;12/02/2018;2018;1;297
01/02/2018;12/03/2018;2018;2;577
01/03/2018;12/04/2018;2018;3;621
01/04/2018;12/05/2018;2018;4;643
01/05/2018;12/06/2018;2018;5;507
01/06/2018;12/07/2018;2018;6;586
01/07/2018;12/08/2018;2018;7;701
01/08/2018;12/09/2018;2018;8;591
01/09/2018;11/10/2018;2018;9;588
01/10/2018;12/11/2018;2018;10;494
01/11/2018;11/12/2018;2018;11;463
01/12/2018;10/01/2019;2018;12;277
01/01/2019;11/02/2019;2019;1;374
01/02/2019;13/03/2019;2019;2;785
01/03/2019;10/04/2019;2019;3;737
01/04/2019;10/05/2019;2019;4;709
01/05/2019;11/06/2019;2019;5;942
01/06/2019;11/07/2019;2019;6;948
01/07/2019;12/08/2019;2019;7;533
01/08/2019;11/09/2019;2019;8;691
01/09/2019;10/10/2019;2019;9;587
01/10/2019;11/11/2019;2019;10;767
01/11/2019;11/12/2019;2019;11;699
01/12/2019;10/01/2020;2019;12;649
01/01/2020;11/02/2020;2020;1;398
01/02/2020;12/03/2020;2020;2;1040
01/03/2020;09/04/2020;2020;3;299
01/04/2020;12/05/2020;2020;4;284
01/05/2020;09/06/2020;2020;5;354
01/06/2020;10/07/2020;2020;6;395
01/07/2020;11/08/2020;2020;7;658
01/08/2020;11/09/2020;2020;8;456
01/09/2020;09/10/2020;2020;9;414
01/10/2020;11/11/2020;2020;10;394
01/11/2020;10/12/2020;2020;11;372
01/12/2020;11/01/2021;2020;12;276
01/01/2021;09/02/2021;2021;1;533
01/02/2021;10/03/2021;2021;2;293
01/03/2021;10/04/2021;2021;3;418
01/04/2021;11/05/2021;2021;4;635
01/05/2021;10/06/2021;2021;5;331
01/06/2021;09/07/2021;2021;6;220
01/07/2021;10/08/2021;2021;7;519
01/08/2021;10/09/2021;2021;8;218
01/09/2021;09/10/2021;2021;9;306
01/10/2021;10/11/2021;2021;10;305
01/11/2021;13/12/2021;2021;11;421
01/12/2021;12/01/2022;2021;12;517
01/01/2022;10/02/2022;2022;1;344
01/02/2022;15/03/2022;2022;2;349
01/03/2022;11/04/2022;2022;3;351
01/04/2022;11/05/2022;2022;4;319
01/05/2022;10/06/2022;2022;5;440
01/06/2022;12/07/2022;2022;6;351
01/07/2022;11/08/2022;2022;7;379
01/08/2022;13/09/2022;2022;8;369
01/09/2022;13/10/2022;2022;9;458
01/10/2022;11/11/2022;2022;10;392
01/11/2022;13/12/2022;2022;11;373
01/12/2022;11/01/2023;2022;12;206
01/01/2023;10/02/2023;2023;1;329
01/02/2023;13/03/2023;2023;2;338
01/03/2023;12/04/2023;2023;3;748
01/04/2023;12/05/2023;2023;4;775
01/05/2023;13/06/2023;2023;5;401
01/06/2023;13/07/2023;2023;6;547
01/07/2023;14/08/2023;2023;7;652
01/08/2023;13/09/2023;2023;8;1074
01/09/2023;11/10/2023;2023;9;842
01/10/2023;13/11/2023;2023;10;835
01/11/2023;13/12/2023;2023;11;1412
01/12/2023;12/01/2024;2023;12;561
01/01/2024;09/02/2024;2024;1;273
01/02/2024;13/03/2024;2024;2;449
01/03/2024;11/04/2024;2024;3;726
