;#;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness;Particle Time start;Particle Time end;Particle Time Elapsed;Base Seed
0;0;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
1;1;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
2;2;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
3;3;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
4;4;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
5;5;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
6;6;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
7;7;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
8;8;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
9;9;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
10;10;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
11;11;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
12;12;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
13;13;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
14;14;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
15;15;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
16;16;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
17;17;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
18;18;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
19;19;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
20;20;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
21;21;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
22;22;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
23;23;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
24;24;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
25;25;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
26;26;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
27;27;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
28;28;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
29;29;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
30;30;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
31;31;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
32;32;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
33;33;4;227;22;4;2716;1721622419,389455;1721622504,661771;85,2723159790039;2000
