#;Reservoirs;Sparsity;Spectral Radius;Noise;Particle Time start;Particle Time end;Particle Time Elapsed;Base Seed
0;267;0,0;1,0;0,0;1725620303,5401027;1725620305,9853847;2,445281982421875;3000
1;388;0,0;2,0;0,0;1725620371,6272542;1725620372,8650854;1,2378311157226562;3000
2;388;0,0;2,0;0,0;1725620371,6272542;1725620372,8650854;1,2378311157226562;3000
3;388;0,0;2,0;0,0;1725620371,6272542;1725620372,8650854;1,2378311157226562;3000
4;388;0,0;2,0;0,0;1725620371,6272542;1725620372,8650854;1,2378311157226562;3000
5;388;0,0;2,0;0,0;1725620371,6272542;1725620372,8650854;1,2378311157226562;3000
6;388;0,0;2,0;0,0;1725620371,6272542;1725620372,8650854;1,2378311157226562;3000
7;388;0,0;2,0;0,0;1725620371,6272542;1725620372,8650854;1,2378311157226562;3000
8;388;0,0;2,0;0,0;1725620371,6272542;1725620372,8650854;1,2378311157226562;3000
9;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
10;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
11;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
12;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
13;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
14;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
15;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
16;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
17;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
18;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
19;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
20;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
21;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
22;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
23;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
24;464;0,0;2,0;0,0;1725620762,7191644;1725620763,0442305;0,32506608963012695;3000
