#;C;Epsilon;Kernel;Fitness;Particle Time start;Particle Time end;Particle Time Elapsed;Base Seed
0;19639,0;1,0;poly;4056;1722117541,9432392;1722117577,0266361;35,083396911621094;3000
1;19639,0;1,0;poly;4056;1722117541,9432392;1722117577,0266361;35,083396911621094;3000
2;19639,0;1,0;poly;4056;1722117541,9432392;1722117577,0266361;35,083396911621094;3000
3;19639,0;1,0;poly;4056;1722117541,9432392;1722117577,0266361;35,083396911621094;3000
4;94,0;1,0;rbf;4019;1722117706,787596;1722117737,6447535;30,857157468795776;3000
5;94,0;1,0;rbf;4019;1722117706,787596;1722117737,6447535;30,857157468795776;3000
6;94,0;1,0;rbf;4019;1722117706,787596;1722117737,6447535;30,857157468795776;3000
7;1219,0;1,0;sigmoid;3947;1722117830,0511928;1722117869,6577835;39,60659074783325;3000
8;1219,0;1,0;sigmoid;3947;1722117830,0511928;1722117869,6577835;39,60659074783325;3000
9;1219,0;1,0;sigmoid;3947;1722117830,0511928;1722117869,6577835;39,60659074783325;3000
10;1219,0;1,0;sigmoid;3947;1722117830,0511928;1722117869,6577835;39,60659074783325;3000
11;1219,0;1,0;sigmoid;3947;1722117830,0511928;1722117869,6577835;39,60659074783325;3000
12;1219,0;1,0;sigmoid;3947;1722117830,0511928;1722117869,6577835;39,60659074783325;3000
13;1219,0;1,0;sigmoid;3947;1722117830,0511928;1722117869,6577835;39,60659074783325;3000
14;1219,0;1,0;sigmoid;3947;1722117830,0511928;1722117869,6577835;39,60659074783325;3000
15;1219,0;1,0;sigmoid;3947;1722117830,0511928;1722117869,6577835;39,60659074783325;3000
16;1219,0;1,0;sigmoid;3947;1722117830,0511928;1722117869,6577835;39,60659074783325;3000
17;1219,0;1,0;sigmoid;3947;1722117830,0511928;1722117869,6577835;39,60659074783325;3000
18;1569,0;0,0;sigmoid;3877;1722118180,3511674;1722118209,4304237;29,079256296157837;3000
19;1569,0;0,0;sigmoid;3877;1722118180,3511674;1722118209,4304237;29,079256296157837;3000
20;1569,0;0,0;sigmoid;3877;1722118180,3511674;1722118209,4304237;29,079256296157837;3000
21;1569,0;0,0;sigmoid;3877;1722118180,3511674;1722118209,4304237;29,079256296157837;3000
22;1569,0;0,0;sigmoid;3877;1722118180,3511674;1722118209,4304237;29,079256296157837;3000
23;1569,0;0,0;sigmoid;3877;1722118180,3511674;1722118209,4304237;29,079256296157837;3000
24;1569,0;0,0;sigmoid;3877;1722118180,3511674;1722118209,4304237;29,079256296157837;3000
