;#;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness;Base Seed
0;0;11;111;dart;37;26;3360;2000
1;1;40;233;gbtree;78;22;3276;2000
2;2;40;233;gbtree;78;22;3276;2000
3;3;40;233;gbtree;78;22;3276;2000
4;4;40;233;gbtree;78;22;3276;2000
5;5;40;233;gbtree;78;22;3276;2000
6;6;40;233;gbtree;78;22;3276;2000
7;7;40;233;gbtree;78;22;3276;2000
8;8;41;217;dart;81;15;3267;2000
9;9;41;217;dart;81;15;3267;2000
10;10;41;217;dart;81;15;3267;2000
11;11;41;217;dart;81;15;3267;2000
12;12;41;217;dart;81;15;3267;2000
13;13;38;233;gbtree;77;30;3258;2000
14;14;31;208;gbtree;82;47;3248;2000
15;15;31;208;gbtree;82;47;3248;2000
16;16;31;208;gbtree;82;47;3248;2000
17;17;31;208;gbtree;82;47;3248;2000
18;18;31;208;gbtree;82;47;3248;2000
19;19;31;208;gbtree;82;47;3248;2000
20;20;31;208;gbtree;82;47;3248;2000
21;21;31;208;gbtree;82;47;3248;2000
22;22;33;217;gbtree;81;31;3243;2000
23;23;33;217;gbtree;81;31;3243;2000
24;24;33;217;gbtree;81;31;3243;2000
